County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
        Estimate,,,,,,,,,,,,,,,,
"Ingham County, Michigan","151,966",913,"6,293","12,363","2,752","15,484","6,342","2,147","12,263","13,297","44,689","15,099","8,500","11,824",,11.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.80%,49.10%,18.80%,26.10%,14.00%,10.20%,13.60%,74.60%,42.70%,59.00%,64.10%,13.00%,37.00%,62.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.60%,13.90%,1.10%,1.20%,2.80%,6.50%,2.70%,0.00%,9.60%,20.40%,18.20%,69.00%,30.50%,14.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.50%,0.00%,8.60%,9.70%,42.40%,58.60%,22.40%,15.90%,41.80%,13.10%,14.90%,10.70%,16.50%,20.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.50%,37.00%,68.00%,6.40%,11.30%,3.70%,5.70%,0.80%,3.90%,0.90%,1.00%,1.00%,4.40%,1.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.60%,0.00%,3.40%,56.60%,29.60%,21.00%,55.60%,8.70%,2.00%,6.60%,1.80%,6.40%,11.70%,1.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Isabella County, Michigan","34,069",728,"2,032","2,800","1,254","3,895",777,586,"1,276","1,993","10,268","5,792","1,803",865,,9.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.60%,58.50%,20.40%,16.50%,10.70%,7.80%,7.50%,9.60%,62.60%,34.20%,55.40%,11.30%,28.50%,28.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,24.70%,0.00%,0.00%,0.60%,0.00%,10.20%,0.00%,12.30%,0.00%,26.20%,21.50%,71.80%,40.80%,34.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.40%,6.70%,6.40%,10.90%,43.10%,49.40%,36.40%,78.20%,34.60%,16.50%,16.80%,12.10%,7.00%,32.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.10%,30.10%,70.00%,1.90%,0.00%,6.10%,4.50%,0.00%,1.30%,1.70%,2.50%,2.00%,19.10%,3.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,15.10%,4.70%,3.20%,70.10%,46.20%,26.50%,51.60%,0.00%,1.50%,21.50%,3.80%,2.70%,4.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Jackson County, Michigan","68,972",159,"5,152","14,759","1,097","7,197","3,756",941,"2,891","5,158","14,796","6,911","2,946","3,209",,7.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.40%,0.00%,25.10%,26.10%,31.20%,13.60%,18.10%,50.40%,44.80%,47.40%,54.50%,18.90%,18.20%,54.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.90%,0.00%,1.10%,0.70%,0.00%,7.80%,1.40%,5.40%,0.80%,26.00%,27.80%,65.80%,27.30%,22.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.20%,0.00%,6.10%,11.10%,52.20%,59.20%,7.80%,34.50%,40.40%,15.10%,13.80%,10.90%,14.70%,22.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.20%,0.00%,56.20%,8.00%,3.30%,1.00%,27.80%,9.70%,12.80%,1.30%,1.00%,2.10%,32.80%,1.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.20%,100.00%,11.60%,54.10%,13.30%,18.40%,44.80%,0.00%,1.20%,10.20%,3.00%,2.40%,7.00%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Kalamazoo County, Michigan","135,583","1,622","6,962","23,613","3,615","14,084","3,275","1,657","8,031","11,890","34,398","15,575","7,196","3,665",,14.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.90%,23.90%,31.60%,39.50%,26.30%,9.70%,19.80%,66.20%,44.60%,46.10%,65.40%,12.50%,37.90%,50.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.40%,0.80%,0.80%,1.50%,0.00%,5.90%,0.00%,6.80%,3.30%,23.90%,23.10%,72.00%,24.40%,24.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.70%,0.00%,5.70%,9.70%,63.20%,64.80%,29.50%,22.60%,47.10%,20.10%,9.70%,9.70%,9.60%,24.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.30%,69.30%,56.20%,4.30%,3.10%,4.00%,11.80%,4.40%,2.10%,5.80%,0.50%,0.30%,22.60%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.80%,6.00%,5.60%,45.00%,7.40%,15.60%,38.80%,0.00%,2.90%,4.20%,1.30%,5.60%,5.50%,1.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Kent County, Michigan","345,415","3,762","20,222","68,229","13,982","34,510","14,334","3,169","20,005","34,456","78,336","32,244","16,511","5,655",,8.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.90%,19.10%,16.90%,27.90%,19.20%,13.40%,16.60%,68.00%,45.80%,55.50%,65.40%,16.90%,27.90%,49.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.50%,1.30%,0.40%,1.50%,1.20%,4.10%,1.60%,3.80%,4.70%,18.00%,22.10%,68.40%,36.80%,25.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.30%,5.20%,7.60%,12.30%,40.70%,57.60%,23.70%,22.60%,45.90%,18.70%,10.00%,9.70%,14.50%,21.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.70%,63.80%,72.30%,5.50%,5.30%,3.50%,4.50%,2.40%,1.90%,2.20%,0.50%,0.60%,9.00%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.60%,10.60%,2.90%,52.80%,33.50%,21.40%,53.60%,3.20%,1.60%,5.60%,1.90%,4.40%,11.80%,3.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lapeer County, Michigan","41,069",943,"4,051","10,146","1,099","4,038","1,290",346,"1,773","3,822","7,901","2,691","2,199",770,,9.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.10%,62.50%,21.70%,36.40%,7.60%,9.20%,0.00%,32.40%,55.90%,49.00%,63.70%,18.00%,34.10%,50.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.10%,1.20%,0.00%,1.10%,3.10%,5.10%,0.00%,0.00%,1.60%,25.20%,24.30%,76.70%,48.60%,26.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,15.70%,0.00%,3.70%,5.10%,67.90%,60.90%,24.80%,52.60%,36.50%,7.60%,9.40%,3.50%,6.50%,22.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,13.20%,35.10%,69.40%,7.50%,11.10%,4.30%,32.20%,15.00%,5.90%,9.30%,1.20%,0.00%,8.20%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.90%,1.30%,5.20%,50.00%,10.30%,20.60%,43.00%,0.00%,0.00%,8.80%,1.50%,1.80%,2.60%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lenawee County, Michigan","43,989","1,230","2,699","9,914",614,"4,985","1,255",519,"1,735","3,114","9,390","4,437","2,396","1,701",,10.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.40%,20.90%,37.60%,24.40%,15.50%,8.60%,7.80%,7.10%,41.80%,38.10%,51.20%,31.40%,15.20%,33.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.20%,0.00%,0.00%,1.40%,0.00%,6.00%,1.40%,59.90%,8.60%,35.50%,27.90%,64.50%,45.40%,43.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.40%,5.00%,4.00%,4.50%,31.60%,54.20%,14.70%,20.40%,47.60%,21.20%,13.20%,4.00%,4.90%,21.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.60%,66.40%,55.30%,6.80%,36.20%,1.50%,23.20%,6.90%,2.00%,3.00%,1.40%,0.00%,33.00%,0.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,21.40%,7.60%,3.10%,62.90%,16.80%,29.70%,52.90%,5.60%,0.00%,2.30%,6.30%,0.20%,1.50%,0.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Livingston County, Michigan","97,776",767,"7,898","16,549","3,251","12,021","3,516","1,290","5,731","10,132","19,455","10,589","4,518","2,059",,9.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,44.20%,34.70%,31.70%,51.30%,25.60%,20.40%,20.80%,61.10%,51.00%,63.10%,70.10%,19.40%,32.30%,32.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.80%,0.00%,0.50%,0.80%,0.00%,4.80%,0.00%,2.30%,3.10%,15.90%,15.70%,62.80%,28.10%,43.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.90%,19.30%,5.10%,11.50%,41.60%,56.90%,16.80%,33.10%,44.00%,13.60%,11.00%,14.90%,15.00%,22.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.20%,46.00%,60.20%,8.10%,12.00%,5.80%,27.30%,3.50%,1.80%,3.80%,0.50%,0.40%,16.60%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.00%,0.00%,2.50%,28.40%,20.80%,12.00%,35.10%,0.00%,0.00%,3.60%,2.60%,2.50%,8.00%,1.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Macomb County, Michigan","437,770","1,557","27,602","90,898","11,574","49,386","19,105","4,993","23,786","40,303","91,183","41,661","20,506","15,216",,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.90%,20.20%,26.40%,35.70%,21.60%,11.50%,18.70%,48.50%,42.70%,50.80%,57.60%,17.60%,23.00%,51.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,0.00%,0.30%,0.80%,1.30%,3.70%,1.00%,13.40%,2.00%,19.40%,24.40%,67.70%,37.70%,25.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.30%,7.40%,5.80%,9.50%,49.10%,57.10%,26.00%,20.10%,50.40%,19.00%,14.30%,10.70%,15.50%,18.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.10%,62.10%,63.00%,6.30%,6.30%,5.00%,6.30%,14.90%,3.10%,2.10%,1.00%,1.00%,15.60%,1.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.80%,10.30%,4.60%,47.80%,21.70%,22.70%,48.00%,3.20%,1.80%,8.60%,2.80%,2.90%,8.20%,3.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Marquette County, Michigan","31,453",978,"2,079","2,758",440,"4,270","1,222",567,"1,457","2,465","8,837","3,852","1,342","1,186",,7.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.60%,6.00%,13.50%,20.10%,15.90%,6.10%,6.70%,59.30%,44.50%,60.90%,60.90%,27.70%,30.80%,19.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.70%,0.00%,0.00%,1.10%,0.00%,7.60%,17.20%,0.00%,0.00%,9.00%,20.50%,59.80%,45.60%,30.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.60%,1.00%,7.00%,21.10%,29.80%,65.00%,17.80%,40.70%,52.80%,21.70%,14.80%,12.00%,3.40%,45.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.50%,51.00%,73.80%,4.00%,0.00%,3.20%,13.50%,0.00%,2.70%,0.00%,0.80%,0.60%,7.70%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.60%,41.90%,5.60%,53.70%,54.30%,18.10%,44.80%,0.00%,0.00%,8.40%,3.10%,0.00%,12.50%,4.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Midland County, Michigan","38,153",264,"3,156","7,512",774,"3,277","1,265",447,"2,057","3,061","9,982","3,828","1,625",905,,6.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,46.00%,54.50%,18.10%,50.20%,5.70%,10.40%,31.60%,68.00%,53.00%,49.10%,73.10%,24.50%,34.10%,65.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.50%,4.20%,0.00%,1.10%,0.00%,3.10%,0.00%,0.00%,13.70%,19.90%,13.20%,55.80%,29.20%,14.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.90%,0.00%,9.50%,20.20%,64.20%,55.40%,16.90%,18.10%,30.80%,20.60%,12.90%,9.10%,8.10%,14.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.60%,14.80%,63.50%,5.10%,0.00%,12.10%,8.10%,13.90%,2.50%,2.70%,0.30%,3.90%,21.70%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.10%,26.50%,8.90%,23.40%,30.10%,19.00%,43.30%,0.00%,0.00%,7.70%,0.60%,6.60%,7.00%,5.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Monroe County, Michigan","70,166","1,082","5,034","14,995",832,"6,905","5,866",662,"2,706","4,342","15,914","6,200","3,336","2,292",,12.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.00%,53.50%,16.40%,32.00%,9.00%,6.30%,15.50%,42.10%,59.30%,40.10%,63.20%,8.20%,26.20%,20.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.50%,0.00%,0.00%,1.20%,0.00%,6.20%,2.30%,21.60%,6.70%,22.70%,19.60%,68.40%,19.80%,35.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.60%,15.40%,5.40%,8.40%,39.10%,54.20%,12.80%,10.60%,21.60%,25.20%,13.10%,11.60%,12.60%,37.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.70%,21.30%,75.40%,9.30%,6.10%,4.60%,13.30%,15.70%,3.50%,2.30%,2.10%,1.70%,22.50%,6.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.20%,9.80%,2.80%,49.20%,45.80%,28.70%,56.10%,10.00%,8.90%,9.70%,2.10%,10.20%,19.00%,0.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Muskegon County, Michigan","76,075",809,"3,421","22,067","1,649","7,710","3,260",462,"2,807","4,941","14,822","8,394","3,359","2,374",,10.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.30%,52.50%,21.00%,25.20%,24.30%,10.40%,8.40%,41.30%,36.00%,33.60%,57.40%,10.50%,28.50%,36.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.70%,4.70%,0.00%,0.40%,0.00%,0.80%,1.30%,0.00%,12.20%,39.10%,29.00%,76.30%,31.40%,32.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.80%,8.20%,4.40%,7.50%,31.60%,58.90%,34.00%,42.20%,51.80%,9.50%,11.20%,8.10%,11.80%,28.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.20%,33.50%,70.80%,7.40%,11.30%,2.10%,1.60%,16.50%,0.00%,3.10%,0.20%,0.00%,15.90%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,25.90%,1.10%,3.90%,59.50%,32.70%,27.90%,54.70%,0.00%,0.00%,14.80%,2.30%,5.00%,12.40%,2.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Oakland County, Michigan","656,765","2,216","28,576","124,835","14,037","60,569","20,628","9,820","52,022","96,413","142,630","58,350","28,837","17,832",,11.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,51.40%,59.40%,25.30%,62.20%,27.90%,16.80%,20.60%,55.80%,59.20%,67.90%,73.30%,22.60%,23.70%,39.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.30%,2.30%,0.10%,1.20%,0.20%,3.80%,2.80%,3.70%,2.00%,11.70%,15.30%,62.10%,40.70%,37.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.90%,0.00%,4.70%,9.30%,54.10%,60.70%,31.00%,34.40%,37.00%,15.90%,9.90%,12.20%,16.80%,17.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.10%,33.60%,65.00%,2.80%,3.10%,2.50%,8.30%,3.50%,0.80%,1.50%,0.30%,0.60%,10.30%,4.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.30%,4.70%,4.90%,24.60%,14.60%,16.20%,37.40%,2.60%,1.00%,3.00%,1.20%,2.40%,8.50%,1.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Ottawa County, Michigan","154,414","2,015","8,997","37,567","4,605","15,578","6,070","1,342","6,011","12,388","37,187","13,666","6,971","2,017",,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.00%,21.50%,23.70%,30.20%,32.20%,9.20%,11.60%,50.10%,45.00%,47.50%,67.00%,18.20%,34.30%,25.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.10%,8.70%,0.30%,2.50%,1.50%,2.50%,1.60%,17.30%,1.60%,19.90%,18.90%,68.50%,22.40%,45.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.10%,3.60%,8.20%,9.60%,38.60%,69.30%,22.50%,14.80%,49.90%,15.50%,12.40%,8.60%,17.50%,25.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.60%,61.20%,64.10%,7.10%,7.00%,2.70%,5.20%,12.40%,2.50%,5.80%,0.50%,0.70%,16.50%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.30%,5.00%,3.70%,50.60%,20.70%,16.30%,59.10%,5.30%,0.90%,11.40%,1.20%,4.00%,9.40%,4.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Saginaw County, Michigan","84,299",755,"4,086","13,994","1,326","8,545","2,932","2,038","4,069","8,321","23,780","9,495","3,125","1,833",,11.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.60%,54.40%,20.00%,28.60%,11.10%,12.40%,10.80%,63.40%,58.80%,36.20%,47.90%,20.30%,21.90%,48.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,23.10%,9.70%,0.90%,0.90%,0.00%,6.80%,0.00%,0.00%,2.30%,30.80%,35.20%,61.30%,35.30%,36.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.80%,7.20%,6.90%,8.70%,49.60%,60.40%,28.80%,19.00%,33.60%,21.30%,14.00%,10.10%,16.00%,10.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.40%,14.60%,68.60%,5.80%,2.90%,2.80%,5.80%,17.50%,5.30%,1.50%,0.40%,1.20%,7.80%,4.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.00%,14.20%,3.60%,56.00%,36.30%,17.60%,54.50%,0.00%,0.00%,10.20%,2.40%,7.10%,19.00%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"St. Clair County, Michigan","72,830",642,"5,562","15,178","1,322","7,210","3,679",908,"2,691","6,291","16,553","5,924","3,739","3,131",,11.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.30%,48.10%,24.10%,27.10%,4.50%,11.30%,11.30%,52.20%,35.50%,47.30%,60.30%,14.30%,21.00%,37.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.40%,10.30%,0.00%,0.40%,3.60%,3.90%,0.00%,6.20%,0.00%,25.70%,25.70%,66.50%,35.20%,32.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.40%,5.60%,3.20%,6.50%,37.20%,66.10%,20.50%,33.30%,56.90%,11.00%,10.60%,13.70%,8.50%,25.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,32.70%,68.60%,9.50%,3.50%,3.00%,17.50%,8.40%,3.10%,3.40%,0.80%,0.00%,17.30%,3.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.40%,3.30%,4.20%,56.50%,51.20%,15.70%,50.70%,0.00%,4.60%,12.60%,2.60%,5.50%,18.00%,0.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Shiawassee County, Michigan","30,871",342,"2,166","5,264","1,001","2,967","1,229",754,"1,441","2,705","7,461","2,743","1,390","1,408",,8.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,28.10%,47.70%,7.10%,18.10%,2.60%,11.70%,2.30%,62.70%,53.20%,46.80%,38.80%,20.70%,24.70%,49.30%,,(X)
