County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
        Estimate,25.00%,17.70%,5.00%,16.70%,57.80%,70.70%,27.80%,36.40%,31.00%,18.80%,10.80%,13.10%,8.30%,14.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.60%,38.60%,70.80%,5.70%,4.30%,2.90%,4.20%,4.20%,1.60%,2.50%,0.40%,1.70%,13.60%,1.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.20%,10.10%,2.30%,37.80%,15.10%,9.30%,44.70%,1.10%,1.30%,5.00%,1.50%,2.90%,13.70%,3.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Moore County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,9.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Nash County, North Carolina","43,995","1,126","3,611","6,571",874,"5,019","2,410",625,"2,615","3,289","9,384","5,085","1,684","1,702",,7.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.50%,23.80%,9.10%,20.30%,5.80%,5.60%,3.20%,61.80%,25.50%,32.70%,64.30%,12.10%,10.90%,45.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.20%,52.40%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,32.30%,25.30%,62.40%,35.90%,35.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.60%,13.80%,5.90%,13.30%,73.80%,82.80%,9.40%,35.70%,56.30%,12.80%,7.80%,22.80%,19.40%,13.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,2.90%,77.30%,4.80%,4.30%,7.00%,2.90%,2.60%,1.90%,5.10%,1.40%,0.00%,21.40%,5.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.70%,7.10%,7.60%,61.60%,16.00%,4.10%,84.50%,0.00%,16.30%,17.10%,1.10%,2.80%,12.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"New Hanover County, North Carolina","105,493",418,"7,608","7,493","2,903","14,203","4,704","3,376","5,648","10,805","28,266","12,108","5,629","2,332",,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,40.10%,18.70%,18.50%,35.30%,24.30%,7.30%,36.50%,37.30%,36.80%,57.90%,68.90%,26.60%,30.70%,31.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.40%,0.00%,1.70%,2.00%,0.00%,2.70%,0.00%,3.20%,4.70%,19.90%,15.50%,60.10%,24.80%,45.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.00%,0.00%,10.40%,16.70%,69.70%,78.50%,27.70%,26.10%,51.30%,14.60%,10.80%,8.90%,17.10%,22.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.90%,81.30%,67.90%,6.00%,2.20%,2.80%,9.40%,22.00%,7.20%,6.40%,0.60%,0.40%,9.20%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.50%,0.00%,1.40%,40.00%,3.90%,8.70%,26.50%,11.40%,0.00%,1.20%,4.30%,4.00%,18.20%,1.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Onslow County, North Carolina","64,037",150,"4,756","2,653","1,146","10,285",965,"1,332","2,758","8,576","12,984","8,590","3,482","6,360",,10.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.20%,0.00%,8.00%,14.30%,37.10%,6.00%,7.50%,10.70%,16.90%,41.50%,54.10%,25.30%,2.20%,33.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,24.00%,0.00%,0.00%,10.70%,18.80%,4.20%,0.00%,6.80%,34.20%,22.60%,29.60%,59.70%,47.20%,13.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,27.80%,0.00%,1.10%,8.80%,29.30%,72.30%,7.30%,45.90%,44.60%,30.10%,13.40%,9.80%,14.80%,34.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.40%,87.30%,78.80%,0.00%,6.40%,11.00%,16.40%,36.60%,4.20%,3.40%,2.40%,0.20%,16.20%,14.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.60%,12.70%,12.00%,66.30%,8.40%,6.60%,68.90%,0.00%,0.00%,2.40%,0.50%,5.20%,19.70%,5.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Orange County, North Carolina","75,667",403,"3,733","4,999",956,"6,426","1,291","1,252","4,490","8,284","30,034","8,434","2,679","2,686",,16.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,52.40%,36.20%,14.10%,42.70%,23.60%,15.30%,16.70%,49.30%,51.50%,63.50%,76.10%,17.70%,52.90%,54.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.80%,0.00%,0.00%,0.00%,0.00%,2.60%,0.90%,0.00%,3.70%,16.00%,13.50%,59.90%,18.80%,24.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.20%,0.00%,10.40%,11.60%,76.40%,70.90%,22.00%,46.30%,42.00%,14.10%,8.50%,18.00%,5.30%,4.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.10%,47.90%,73.70%,0.60%,0.00%,0.00%,18.30%,4.40%,1.70%,2.40%,1.40%,1.20%,12.70%,8.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.60%,15.90%,1.80%,45.10%,0.00%,11.20%,42.10%,0.00%,1.10%,4.00%,0.60%,3.20%,10.30%,8.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Pitt County, North Carolina","81,798","1,063","5,243","9,105","1,393","9,598","2,547","1,531","3,707","4,752","24,554","10,210","4,117","3,978",,9.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,36.00%,25.10%,17.50%,24.80%,19.70%,13.90%,15.00%,61.00%,55.70%,36.70%,63.50%,15.80%,16.00%,34.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,22.60%,2.90%,0.00%,2.40%,17.60%,6.10%,0.00%,0.00%,0.00%,36.90%,19.10%,68.10%,50.30%,48.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.90%,0.00%,6.00%,15.90%,56.30%,73.20%,29.40%,10.80%,43.40%,12.90%,14.00%,10.00%,8.70%,10.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.90%,67.90%,75.00%,3.60%,4.00%,1.90%,9.10%,7.50%,0.00%,5.80%,0.90%,2.10%,20.50%,3.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.60%,4.00%,1.60%,53.30%,2.40%,4.90%,46.40%,20.60%,0.90%,7.60%,2.50%,4.00%,4.40%,3.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Randolph County, North Carolina","66,521","1,018","4,734","15,064","1,689","7,300","4,140",668,"2,008","5,093","12,479","5,519","4,084","2,725",,9.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,25.50%,53.00%,12.80%,11.40%,22.80%,9.80%,6.80%,41.00%,37.40%,34.40%,57.40%,17.80%,27.50%,25.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,0.00%,0.00%,2.40%,0.00%,4.50%,0.00%,0.00%,0.00%,33.80%,23.40%,59.40%,30.20%,50.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.90%,0.00%,4.70%,15.50%,42.50%,65.30%,21.20%,32.50%,59.50%,10.60%,17.80%,20.60%,17.00%,12.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.10%,26.30%,73.40%,3.30%,2.80%,1.40%,9.40%,26.50%,3.10%,8.50%,0.80%,1.60%,21.30%,7.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,24.60%,20.60%,9.10%,67.50%,31.90%,19.00%,62.60%,0.00%,0.00%,12.70%,0.60%,0.60%,4.00%,4.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Robeson County, North Carolina","46,987","1,699","4,682","8,235",783,"5,900","2,364",279,"1,339","1,777","11,951","3,233","1,957","2,788",,9.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,25.80%,41.50%,4.10%,9.10%,15.70%,3.40%,8.00%,61.30%,28.70%,28.10%,55.80%,22.50%,16.70%,43.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.70%,0.00%,1.00%,4.30%,0.00%,6.30%,1.10%,0.00%,2.10%,34.90%,30.20%,59.00%,36.60%,39.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.40%,7.50%,0.40%,7.90%,55.20%,76.70%,16.30%,38.70%,69.20%,4.10%,10.90%,13.10%,19.10%,9.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.80%,46.50%,91.90%,6.30%,10.10%,6.00%,13.70%,0.00%,0.00%,11.80%,2.00%,0.00%,20.50%,7.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.20%,4.50%,2.60%,72.50%,19.00%,7.60%,60.90%,0.00%,0.00%,21.20%,1.10%,5.40%,7.00%,0.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Rockingham County, North Carolina","37,903",201,"3,042","7,006","1,596","5,943","1,911",101,"1,427","3,964","7,905","1,068","2,003","1,736",,12.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,25.40%,100.00%,20.00%,17.70%,6.60%,4.60%,6.60%,74.30%,21.50%,24.40%,60.30%,16.90%,29.50%,10.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.40%,0.00%,0.00%,2.00%,0.00%,6.80%,1.70%,0.00%,0.00%,31.70%,26.90%,59.40%,57.20%,70.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.90%,0.00%,8.60%,4.60%,51.40%,71.20%,16.20%,25.70%,69.20%,14.20%,8.20%,15.60%,4.00%,13.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.80%,0.00%,63.10%,4.00%,6.20%,5.40%,8.90%,0.00%,6.70%,3.60%,0.00%,4.00%,9.30%,5.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,24.60%,0.00%,8.30%,71.70%,35.80%,12.00%,66.60%,0.00%,2.60%,26.20%,4.70%,4.10%,0.00%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Rowan County, North Carolina","60,385",427,"6,118","10,279","1,693","7,845","3,090",336,"1,937","4,397","13,744","5,990","3,144","1,385",,10.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,27.00%,36.80%,15.00%,10.10%,9.90%,16.70%,8.20%,44.90%,53.10%,27.90%,58.00%,17.00%,14.10%,44.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.40%,0.00%,2.30%,1.10%,0.00%,3.80%,3.20%,0.00%,1.60%,26.10%,31.20%,68.20%,46.80%,47.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.20%,0.00%,1.50%,11.70%,43.40%,71.30%,14.10%,55.10%,40.80%,29.90%,9.10%,6.80%,5.00%,4.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,14.50%,63.20%,80.00%,12.20%,17.30%,2.20%,26.00%,0.00%,0.90%,4.00%,0.50%,0.00%,26.40%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.80%,0.00%,1.20%,64.90%,29.40%,6.00%,48.60%,0.00%,3.60%,12.10%,1.20%,8.00%,7.80%,3.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Rutherford County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,7.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Surry County, North Carolina","29,390",555,"2,258","4,403",896,"3,979","1,372",216,"1,017","2,198","6,901","3,690","1,275",630,,6.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.90%,51.50%,19.60%,19.30%,27.50%,5.90%,8.00%,36.10%,51.30%,33.40%,62.80%,24.20%,27.10%,49.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.80%,0.00%,0.00%,4.80%,0.00%,1.30%,0.00%,0.00%,9.50%,29.00%,20.80%,58.80%,43.50%,13.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.80%,0.00%,3.30%,13.20%,34.00%,64.90%,21.90%,29.60%,36.80%,26.60%,12.40%,11.40%,4.90%,33.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.50%,48.50%,72.60%,4.60%,7.40%,17.40%,12.70%,34.30%,0.00%,2.10%,0.30%,1.30%,8.80%,4.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,0.00%,4.50%,58.10%,31.10%,10.50%,57.40%,0.00%,2.40%,8.90%,3.80%,4.30%,15.60%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Union County, North Carolina","109,270","1,015","8,232","12,679","3,653","12,150","5,370","2,514","11,181","13,895","23,297","8,535","4,270","2,479",,8.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.30%,31.00%,35.50%,27.50%,12.20%,16.60%,13.60%,49.10%,68.60%,49.30%,70.10%,13.10%,31.50%,26.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.10%,5.00%,0.00%,0.90%,0.00%,2.60%,2.50%,6.70%,0.40%,22.20%,16.60%,73.10%,27.10%,52.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.00%,0.00%,9.30%,16.90%,57.20%,64.30%,11.50%,44.20%,28.70%,20.40%,8.40%,8.50%,10.00%,15.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.10%,47.60%,52.20%,6.90%,13.50%,2.20%,5.20%,0.00%,1.30%,5.70%,1.50%,1.30%,15.70%,1.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.50%,16.40%,3.00%,47.90%,17.20%,14.20%,67.20%,0.00%,1.00%,2.40%,3.30%,4.00%,15.80%,3.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Wake County, North Carolina","528,812","1,789","34,734","41,230","13,765","56,269","19,497","18,882","39,890","101,164","107,542","46,214","21,748","26,088",,8.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,48.90%,26.40%,24.70%,57.00%,22.20%,14.30%,18.20%,61.90%,55.60%,68.00%,74.70%,17.00%,26.90%,55.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.60%,13.70%,0.40%,0.50%,0.00%,3.30%,0.20%,2.20%,2.00%,9.90%,15.60%,60.80%,36.80%,20.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.70%,4.60%,6.90%,12.80%,57.50%,68.60%,29.80%,29.10%,38.60%,18.60%,8.20%,18.20%,18.60%,16.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.10%,55.30%,65.80%,4.60%,2.70%,5.30%,5.40%,5.40%,2.40%,1.20%,0.50%,0.50%,9.00%,4.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.70%,0.00%,2.20%,25.20%,17.70%,8.40%,46.40%,1.40%,1.50%,2.20%,1.00%,3.50%,8.70%,2.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Wayne County, North Carolina","51,874",914,"3,290","8,946","1,667","7,925","2,324",123,"1,490","1,656","13,148","5,394","1,768","3,229",,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.20%,66.80%,15.10%,15.90%,0.00%,11.30%,18.60%,7.30%,55.80%,30.40%,63.30%,18.00%,15.80%,28.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.60%,8.40%,0.00%,0.00%,0.00%,0.60%,0.00%,0.00%,0.00%,17.20%,19.30%,68.30%,36.60%,24.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.10%,1.10%,3.60%,12.00%,76.80%,70.20%,23.10%,0.00%,44.20%,36.30%,14.10%,12.70%,11.80%,29.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.20%,11.90%,77.50%,7.30%,2.90%,12.10%,8.30%,92.70%,0.00%,2.40%,1.50%,0.00%,21.20%,17.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,11.70%,3.80%,64.80%,20.30%,5.80%,50.00%,0.00%,0.00%,13.70%,1.70%,1.00%,14.70%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Wilkes County, North Carolina",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,8.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Wilson County, North Carolina","35,530",420,"1,882","7,588",990,"3,653","1,059",167,"1,824","2,811","8,533","2,763","2,619","1,221",,13.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.50%,12.10%,17.90%,20.10%,16.60%,9.00%,7.60%,76.60%,57.20%,40.30%,65.40%,8.30%,32.80%,35.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.50%,0.00%,0.00%,5.10%,0.00%,3.40%,0.00%,0.00%,0.00%,35.60%,17.70%,71.30%,14.40%,39.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.00%,0.00%,12.00%,6.70%,24.60%,76.60%,4.90%,0.00%,34.50%,9.30%,13.30%,20.40%,6.60%,14.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.40%,75.70%,66.40%,14.20%,5.40%,3.30%,15.50%,23.40%,8.30%,0.00%,0.50%,0.00%,43.20%,5.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.60%,12.10%,3.70%,53.90%,53.40%,7.70%,72.00%,0.00%,0.00%,14.70%,3.10%,0.00%,3.00%,6.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Burleigh County, North Dakota","51,848","2,221","4,900","2,093","1,770","5,953","3,243",489,"2,760","4,414","13,868","4,006","2,516","3,615",,6.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.10%,38.80%,20.50%,44.40%,8.70%,6.70%,29.10%,65.20%,46.00%,55.00%,61.40%,13.70%,37.20%,54.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.30%,1.00%,0.10%,0.00%,0.00%,5.30%,0.00%,0.00%,0.00%,8.50%,25.20%,76.00%,15.90%,22.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.70%,4.10%,6.50%,6.00%,46.60%,66.60%,22.70%,22.50%,50.80%,22.70%,11.60%,7.10%,18.70%,22.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.50%,43.70%,69.50%,10.60%,4.20%,15.80%,11.20%,12.30%,0.00%,0.70%,0.00%,0.30%,14.00%,1.70%,,(X)
